id,name, price , original_price ,discount,description,image,rating,sold,category_id,user_id,created_at,category
31,Cooking Oil,"122,255","122,500",9,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,4.8,373,,2,5/16/2025 7:01,7
32,Cucumber,"36,505","36,505",0,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp,4.07,10,,2,5/16/2025 7:01,7
33,Dog Food,"269,255","294,000",10,Specially formulated dog food designed to provide essential nutrients for your canine companion.,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp,4.55,262,,2,5/16/2025 7:01,7
34,Eggs,"73,255","73,500",11,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,2.53,162,,2,5/16/2025 7:01,7
35,Fish Steak,"367,255","367,500",4,"Quality fish steak, suitable for grilling, baking, or pan-searing.",https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp,3.78,198,,1,5/16/2025 7:01,7
36,Green Bell Pepper,"31,605","31,605",0,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp,3.25,337,,2,5/16/2025 7:01,7
37,Green Chili Pepper,"24,255","24,500",1,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp,3.66,133,,2,5/16/2025 7:01,7
38,Honey Jar,"171,255","196,000",14,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,3.97,265,,2,5/16/2025 7:01,7
39,Ice Cream,"134,505","147,000",9,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp,3.39,34,,1,5/16/2025 7:01,7
40,Juice,"97,755","98,000",12,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp,3.94,45,,2,5/16/2025 7:01,7
41,Kiwi,"61,005","49,000",15,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp,4.93,303,,2,5/16/2025 7:01,7
42,Lemon,"19,355","49,000",10,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp,3.53,257,,2,5/16/2025 7:01,7
43,Milk,"85,505","98,000",14,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp,2.61,49,,1,5/16/2025 7:01,7
44,Mulberry,"122,255","122,500",13,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp,4.95,203,,2,5/16/2025 7:01,7
45,Nescafe Coffee,"195,755","196,000",2,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp,4.82,450,,1,5/16/2025 7:01,7
46,Potatoes,"56,105","49,000",5,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp,4.81,211,,2,5/16/2025 7:01,7
47,Decoration Swing,"1,469,755","1,617,000",10,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp,3.16,423,,1,5/16/2025 7:01,5
48,Family Tree Photo Frame,"734,755","857,500",15,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp,4.53,223,,2,5/16/2025 7:01,5
49,House Showpiece Plant,"979,755","1,053,500",7,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp,4.67,349,,2,5/16/2025 7:01,5
50,Plant Pot,"367,255","392,000",7,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp,3.01,21,,1,5/16/2025 7:01,5
51,Table Lamp,"1,224,755","1,298,500",7,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp,3.55,56,,2,5/16/2025 7:01,5
52,Air Max 1,"2,409,330","2,695,000",45,The Nike Air Max 1 By You refreshes the sneaker legend that's reigned supreme since '87.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/fb3ba7ef-fa8c-4430-87f4-e820e5b647d3/AIR+MAX+1+%28GS%29.png",4.5,85,,2,5/16/2025 7:01,2
53,Slingback,"1,360,430","1,800,000",57,The slingback shoe style with a back strap helps secure the foot and makes it easy to put on and take off.,https://nuddo.vn/wp-content/uploads/2024/09/dsefedde.jpg,3.9,34,,2,5/16/2025 7:01,2
54,Jacket,"4,645,500","5,000,000",3,"Sleek, minimalist look suitable for casual or semi-formal outfits",https://file.hstatic.net/200000887901/file/ao-khoac-jacket-nam_20_1_.png,4.9,64,,1,5/16/2025 7:01,2
55,Silk marble fishtail skirt,"1,100,000","1,600,000",16,"High quality Korean chiffon is light and soft, has good drape with sharp 3D printed patterns.",https://cenes.vn/wp-content/uploads/2025/04/C000112598.webp,3.6,67,,2,5/16/2025 7:01,2
56,Sleepsuit,"180,000","200,000",9,BAMBOO by LUL fabric line will bring your baby a cool feeling ,https://lullabybaby.vn/wp-content/uploads/2023/02/NH114V-6@2x-100.jpg,4.8,24,,2,5/16/2025 7:01,3
57,lego,"370,000","400,000",38,"In addition to being a simple entertainment, this LEGO MAGNET 64 CT toy set also helps children: learn colors, recognize shapes. Skillfully combine hands and brain. Develop spatial geometric imagination",https://linhanhkids.com/wp-content/uploads/2021/11/eeace70847142a89dd8a4f695d469689.jpg,3.4,12,,1,5/16/2025 7:01,3
58,High-end 2-way stroller Ving Q11,"3,300,000","3,650,000",24,"The high-end ving q11 two-way stroller is the perfect product for families with young children. Designed intelligently and conveniently, this product not only brings comfort to the baby but is also recommended for parents to easily move around.",https://cdn.chiaki.vn/unsafe/0x480/left/top/smart/filters:quality(75)/https://chiaki.vn/upload/seller/1746699450-img-3214.jpeg,3.8,6,,1,5/16/2025 7:01,3
